"특별법범",주택법,소계,571,14,,1,10,34,84,139,89,200
"특별법범",직업안정법,소계,189,11,2,3,16,36,42,20,20,39
"특별법범",집회및시위에관한법률,소계,235,31,1,1,11,36,96,43,14,2
"특별법범",청소년보호법,소계,7591,479,220,269,2472,2818,1124,172,26,11
"특별법범",총포·도검·화약류등의안전관리에관한법률,소계,369,42,3,6,51,108,113,22,13,11
"특별법범",최저임금법,소계,790,52,,1,16,62,196,222,134,107
"특별법범",축산물위생관리법,소계,301,16,4,3,35,94,77,39,16,17
"특별법범",출입국관리법,소계,2426,693,19,11,59,116,262,325,332,609
"특별법범",통신비밀보호법,소계,254,12,1,3,11,36,76,29,36,50
"특별법범",특가법(도주차량),소계,9288,3650,555,545,1966,1772,615,103,38,44
"특별법범",특허법,소계,184,3,,2,2,10,49,40,32,46
"특별법범",폐기물관리법,소계,1931,107,16,19,171,403,552,278,183,202
"특별법범",풍속영업의규제에관한법률,소계,77,23,3,3,16,14,13,3,1,1
"특별법범",하천법,소계,238,13,3,1,23,51,60,27,36,24
"특별법범",학교보건법,소계,,,,,,,,,,
"특별법범",학원의설립운영및과외교습에관한법률,소계,376,12,7,3,67,103,99,31,19,35
"특별법범",화물자동차운수사업법,소계,3170,65,17,21,270,580,1966,107,39,105
"특별법범",화재로인한재해보상과보험가입에관한법률,소계,17,,,,2,8,1,6,,
"특별법범",화재예방·소방시설설치유지및안전관리에관한법률,소계,392,47,4,2,23,65,120,54,46,31
"특별법범",화학물질관리법,소계,693,182,7,7,21,52,93,98,84,149
"특별법범",기타특별법,소계,49268,7747,387,565,3696,7502,9067,5614,5953,8737
